Date,New Cases,Case Positivity,Tests,Mean Positivity,Var Positivity,Updated,UpdateVar,LCL,UCL,Infections,ILCL,ULCL,CumulativeDetected,CumulativeTotal,CumulativeTotalL,CumulativeTotalU,Infectivity,InfectivityL,InfectivityU
7/8/2020,2,0.33,598,0.003344482,5.57E-06,0.003344482,5.57E-06,-0.001282891,0.007971854,167,64,399,2,167,64,399,0,0,0
7/9/2020,1,0.14,719,0.001390821,1.93E-06,0.001893617,1.43E-06,-0.000453884,0.004241118,95,23,212,3,262,87,611,0.364505544,0.264828646,0.351264891
7/10/2020,5,0.68,730,0.006849315,9.32E-06,0.002554758,1.24E-06,0.000369451,0.004740066,128,18,237,8,390,105,848,0.330785669,0.171789387,0.284303694
7/13/2020,2,0.3,669,0.002989537,4.46E-06,0.002649609,9.72E-07,0.000717319,0.004581898,132,36,229,10,522,141,1077,0.255541955,0.25604133,0.217309451
7/14/2020,2,0.32,628,0.003184713,5.06E-06,0.002735903,8.15E-07,0.000966267,0.004505539,137,48,225,12,659,189,1302,0.210668015,0.254932129,0.177432512
7/15/2020,6,1.12,538,0.011152416,2.05E-05,0.003057825,7.84E-07,0.001322363,0.004793288,153,66,240,18,812,255,1542,0.191535299,0.260150776,0.160596606
7/16/2020,7,1.13,617,0.011345219,1.82E-05,0.003400469,7.52E-07,0.001701261,0.005099676,170,85,255,25,982,340,1797,0.176585973,0.251712501,0.147196044
7/17/2020,3,0.41,725,0.004137931,5.68E-06,0.003486599,6.64E-07,0.001889698,0.005083499,174,94,254,28,1156,434,2051,0.154083436,0.218487395,0.129142419
7/20/2020,3,0.36,840,0.003571429,4.24E-06,0.00349809,5.74E-07,0.002013288,0.004982893,175,101,249,31,1331,535,2300,0.1350781,0.190828175,0.11348439
7/21/2020,3,0.59,507,0.00591716,1.16E-05,0.003612114,5.47E-07,0.002162727,0.005061501,180,108,253,34,1511,643,2553,0.122841193,0.170152323,0.104435188
7/22/2020,3,0.47,632,0.004746835,7.48E-06,0.003689467,5.10E-07,0.002290354,0.00508858,184,114,254,37,1695,757,2807,0.112366622,0.152911242,0.095874443
7/23/2020,6,0.8,752,0.007978723,1.05E-05,0.003887538,4.86E-07,0.002521111,0.005253965,194,126,262,43,1889,883,3069,0.10673579,0.145262908,0.090957611
7/24/2020,3,0.36,838,0.003579952,4.26E-06,0.003856016,4.36E-07,0.002561498,0.005150535,193,128,257,46,2082,1011,3326,0.096730912,0.129222607,0.082781704
7/27/2020,4,0.48,835,0.004790419,5.71E-06,0.003922341,4.05E-07,0.002674612,0.005170071,196,134,258,50,2278,1145,3584,0.090151814,0.119776188,0.077551029
7/28/2020,2,0.27,741,0.002699055,3.63E-06,0.003799564,3.65E-07,0.002616105,0.004983023,190,131,249,52,2468,1276,3833,0.080987098,0.105356063,0.070361715
7/30/2020,4,0.54,736,0.005434783,7.34E-06,0.003876904,3.47E-07,0.002721771,0.005032037,194,136,251,56,2662,1412,4084,0.076980577,0.099119555,0.066932533
7/31/2020,1,0.09,1058,0.00094518,8.93E-07,0.00305558,2.50E-07,0.00207552,0.00403564,153,104,202,57,2815,1516,4286,0.057598165,0.070749145,0.051554486
8/3/2020,1,0.05,1896,0.000527426,2.78E-07,0.001858508,1.32E-07,0.001147371,0.002569646,93,57,128,58,2908,1573,4414,0.033958036,0.037414932,0.031810097
8/4/2020,3,0.17,1759,0.001705514,9.68E-07,0.001840191,1.16E-07,0.001172981,0.002507402,92,59,125,61,3000,1632,4539,0.032626657,0.037373316,0.030292409
8/5/2020,5,0.36,1405,0.003558719,2.52E-06,0.001915635,1.11E-07,0.001263234,0.002568036,96,63,128,66,3096,1695,4667,0.03305737,0.038474139,0.030254279
8/6/2020,5,0.27,1823,0.002742732,1.50E-06,0.001972512,1.03E-07,0.001342943,0.002602082,98,67,130,71,3194,1762,4797,0.032779459,0.039415965,0.029980711
8/7/2020,6,0.24,2509,0.002391391,9.51E-07,0.002013517,9.31E-08,0.001415555,0.002611478,101,71,130,77,3295,1833,4927,0.032818584,0.040210714,0.02927437
8/10/2020,2,0.05,4110,0.000486618,1.18E-07,0.001341291,5.21E-08,0.00089392,0.001788662,67,45,89,79,3362,1878,5016,0.021367648,0.024898322,0.019725184
8/11/2020,4,0.11,3610,0.001108033,3.07E-07,0.00130741,4.45E-08,0.000893803,0.001721017,65,45,86,83,3427,1923,5102,0.020365177,0.024338553,0.018775135
8/12/2020,4,0.16,2438,0.001640689,6.72E-07,0.001328128,4.18E-08,0.000927583,0.001728673,66,46,86,87,3493,1969,5188,0.020316734,0.024321565,0.018499577
8/15/2020,6,0.37,1636,0.003667482,2.23E-06,0.001371068,4.10E-08,0.000974216,0.00176792,68,49,88,93,3561,2018,5276,0.020562984,0.025304666,0.018651026
8/16/2020,7,0.29,2453,0.002853649,1.16E-06,0.001421678,3.96E-08,0.001031658,0.001811698,71,51,90,100,3632,2069,5366,0.021082996,0.025715843,0.018793198
8/17/2020,24,0.26,9064,0.002647838,2.91E-07,0.001568388,3.49E-08,0.001202444,0.001934331,78,60,96,124,3710,2129,5462,0.022713814,0.029438869,0.01973746
8/18/2020,20,0.32,6162,0.003245699,5.25E-07,0.001672824,3.27E-08,0.001318456,0.002027192,83,66,101,144,3793,2195,5563,0.023684295,0.031453117,0.020435941
8/19/2020,29,0.46,6300,0.004603175,7.27E-07,0.001798869,3.13E-08,0.001452206,0.002145532,90,72,107,173,3883,2267,5670,0.025136862,0.033273912,0.021294424
8/20/2020,52,0.48,10742,0.004840812,4.48E-07,0.001997231,2.92E-08,0.001662061,0.002332401,99,83,116,225,3982,2350,5786,0.027023781,0.037069281,0.022685416
8/21/2020,54,0.5,10877,0.004964604,4.54E-07,0.002176742,2.75E-08,0.001851868,0.002501615,108,92,124,279,4090,2442,5910,0.02877268,0.039619933,0.023811727
8/22/2020,43,1.29,3326,0.012928443,3.84E-06,0.002253185,2.73E-08,0.001929468,0.002576901,112,96,128,322,4202,2538,6038,0.029116812,0.039861546,0.024132161
8/23/2020,53,1.18,4474,0.011846223,2.62E-06,0.002352171,2.70E-08,0.002030129,0.002674214,117,101,133,375,4319,2639,6171,0.029672043,0.040421649,0.02461313
8/24/2020,79,0.45,17656,0.0044744,2.52E-07,0.002557322,2.44E-08,0.002251242,0.002863403,127,112,142,454,4446,2751,6313,0.031380967,0.043105886,0.025777796
8/25/2020,89,0.56,15850,0.005615142,3.52E-07,0.002755307,2.28E-08,0.002459301,0.003051313,136,122,151,543,4582,2873,6464,0.032712003,0.045083248,0.026872348
8/26/2020,54,0.79,6812,0.007927187,1.15E-06,0.002855507,2.24E-08,0.002562383,0.003148632,141,127,156,597,4723,3000,6620,0.033009681,0.045070225,0.027211263
8/27/2020,60,0.4,15123,0.003967467,2.61E-07,0.002943183,2.06E-08,0.002661852,0.003224515,145,131,159,657,4868,3131,6779,0.033046618,0.044674429,0.027190338
8/28/2020,65,0.43,15030,0.004324684,2.86E-07,0.00303587,1.92E-08,0.00276414,0.0033076,150,136,163,722,5018,3267,6942,0.033281452,0.04458422,0.027330416
8/29/2020,50,1.73,2895,0.017271157,5.86E-06,0.003082388,1.92E-08,0.002811102,0.003353673,152,138,165,772,5170,3405,7107,0.032850385,0.043540222,0.027133833
8/30/2020,104,2.86,3640,0.028571429,7.63E-06,0.00314627,1.91E-08,0.002875324,0.003417215,155,141,168,876,5325,3546,7275,0.032646875,0.042856711,0.027107216
8/31/2020,230,1.34,17227,0.013351135,7.65E-07,0.003395089,1.86E-08,0.003127467,0.003662711,166,153,179,1106,5491,3699,7454,0.034055908,0.044747861,0.02833345
9/1/2020,199,1.39,14367,0.013851187,9.51E-07,0.003596193,1.83E-08,0.003331157,0.003861228,175,162,188,1305,5666,3861,7642,0.034953011,0.045571371,0.029180336
9/2/2020,120,1.69,7089,0.016927634,2.35E-06,0.003699237,1.81E-08,0.003435227,0.003963246,180,167,193,1425,5846,4028,7835,0.03500288,0.045208631,0.029370416
9/3/2020,88,0.59,14841,0.00592952,3.97E-07,0.003796675,1.74E-08,0.003538497,0.004054853,184,172,197,1513,6030,4200,8032,0.034847893,0.044836139,0.029396501
9/4/2020,104,0.73,14204,0.007321881,5.12E-07,0.003912293,1.68E-08,0.003658384,0.004166202,189,177,202,1617,6219,4377,8234,0.034873235,0.044460835,0.029563685
9/5/2020,37,1.42,2609,0.014181679,5.36E-06,0.003944355,1.67E-08,0.003690843,0.004197867,191,178,203,1654,6410,4555,8437,0.034351751,0.043142698,0.029147257
9/6/2020,37,1.24,2987,0.01238701,4.10E-06,0.003978702,1.67E-08,0.003725706,0.004231699,192,180,204,1691,6602,4735,8641,0.03368564,0.042145687,0.028751063
9/7/2020,69,1.1,6299,0.01095412,1.72E-06,0.004045628,1.65E-08,0.003793848,0.004297408,195,183,207,1760,6797,4918,8848,0.033394385,0.04143443,0.028649992
9/8/2020,81,0.7,11621,0.00697014,5.96E-07,0.004124472,1.61E-08,0.00387611,0.004372834,199,187,211,1841,6996,5105,9059,0.033279264,0.040974137,0.028688173
